index,unixTimestamp,TP9,AF7,AF8,TP10
0,1734117334710.25,0,0,0,-0.48828125
1,1734117334714.1562,0,0,-0.48828125,-0.48828125
2,1734117334718.0625,-0.48828125,-0.9765625,0.48828125,1.46484375
3,1734117334721.9688,0,1.46484375,-2.9296875,-3.41796875
4,1734117334725.875,-0.9765625,-7.8125,5.859375,16.11328125
5,1734117334729.7812,-14.6484375,-21.97265625,-13.18359375,44.921875
6,1734117334733.6875,-8.7890625,-17.578125,-44.921875,46.875
7,1734117334737.5938,-5.859375,-12.20703125,-39.55078125,39.55078125
8,1734117334741.5,-19.53125,-22.94921875,-37.59765625,37.109375
9,1734117334745.4062,-13.671875,-27.34375,-30.76171875,45.41015625
10,1734117334749.3125,-3.90625,-11.23046875,-27.83203125,39.55078125
11,1734117334753.2188,-21.484375,-13.671875,-29.296875,29.78515625
0,1734117334757.125,-31.73828125,-15.13671875,-32.71484375,34.1796875
1,1734117334761.0312,-19.04296875,-10.7421875,-30.2734375,29.78515625
2,1734117334764.9375,-20.01953125,-16.6015625,-27.34375,28.3203125
3,1734117334768.8438,-3.90625,-15.625,-30.76171875,33.203125
4,1734117334772.75,-5.859375,-20.01953125,-31.73828125,21.97265625
5,1734117334776.6562,-13.18359375,-28.80859375,-31.73828125,18.5546875
6,1734117334780.5625,-2.9296875,-14.6484375,-37.109375,32.71484375
7,1734117334784.4688,-0.9765625,-7.32421875,-41.015625,28.3203125
8,1734117334788.375,-15.13671875,-13.671875,-37.109375,15.625
9,1734117334792.2812,-27.34375,-17.08984375,-36.62109375,20.01953125
10,1734117334796.1875,-21.484375,-29.296875,-37.109375,20.01953125
11,1734117334800.0938,-21.97265625,-26.85546875,-36.1328125,12.6953125
0,1734117334804,-17.08984375,-11.71875,-35.15625,20.99609375
1,1734117334807.9062,-4.8828125,-10.7421875,-31.25,39.0625
2,1734117334811.8125,-10.7421875,-18.5546875,-30.76171875,44.43359375
3,1734117334815.7188,-9.765625,-23.92578125,-32.2265625,49.31640625
4,1734117334819.625,-4.39453125,-20.5078125,-32.71484375,32.2265625
5,1734117334823.5312,4.39453125,-20.5078125,-33.69140625,40.52734375
6,1734117334827.4375,5.859375,-19.04296875,-30.76171875,62.98828125
7,1734117334831.3438,-6.34765625,-21.484375,-34.1796875,44.921875
8,1734117334835.25,-5.37109375,-35.15625,-39.55078125,38.57421875
9,1734117334839.1562,11.23046875,-41.50390625,-40.52734375,44.43359375
10,1734117334843.0625,8.7890625,-31.25,-41.50390625,48.828125
11,1734117334846.9688,-3.41796875,-27.83203125,-48.33984375,30.2734375
0,1734117334850.875,10.7421875,-31.25,-48.33984375,33.203125
1,1734117334854.7812,18.06640625,-27.83203125,-43.45703125,44.43359375
2,1734117334858.6875,5.37109375,-22.94921875,-43.9453125,29.296875
3,1734117334862.5938,-2.9296875,-25.87890625,-45.8984375,26.3671875
4,1734117334866.5,-3.90625,-22.4609375,-41.50390625,39.55078125
5,1734117334870.4062,11.23046875,-30.2734375,-38.0859375,35.64453125
6,1734117334874.3125,5.859375,-36.62109375,-38.57421875,29.78515625
7,1734117334878.2188,-18.06640625,-22.94921875,-37.59765625,27.34375
8,1734117334882.125,-25.390625,-19.53125,-37.109375,22.94921875
9,1734117334886.0312,-27.34375,-23.4375,-33.203125,28.80859375
10,1734117334889.9375,-19.53125,-21.484375,-29.78515625,27.34375
11,1734117334893.8438,-11.23046875,-20.5078125,-28.3203125,30.2734375
0,1734117334897.75,-2.9296875,-21.97265625,-28.3203125,45.8984375
1,1734117334901.6562,-15.13671875,-26.3671875,-26.3671875,38.0859375
2,1734117334905.5625,-16.6015625,-27.34375,-25.87890625,22.4609375
3,1734117334909.4688,2.44140625,-19.04296875,-23.4375,40.52734375
4,1734117334913.375,3.90625,-17.08984375,-25.87890625,42.48046875
5,1734117334917.2812,-6.8359375,-19.53125,-33.203125,19.04296875
6,1734117334921.1875,-2.44140625,-21.484375,-32.71484375,8.30078125
7,1734117334925.0938,-7.32421875,-30.2734375,-31.73828125,13.671875
8,1734117334929,-11.71875,-35.64453125,-29.296875,22.94921875
9,1734117334932.9062,18.06640625,-24.90234375,-27.34375,39.0625
