index,unixTimestamp,TP9,AF7,AF8,TP10
0,1734117394804,0,0,0,-0.48828125
1,1734117394807.9062,0,0,-0.48828125,0
2,1734117394811.8125,0,-1.953125,-0.48828125,0
3,1734117394815.7188,0,3.41796875,-0.48828125,-1.46484375
4,1734117394819.625,0,-20.01953125,-7.32421875,8.30078125
5,1734117394823.5312,6.8359375,-52.734375,-36.62109375,7.32421875
6,1734117394827.4375,-2.44140625,-56.15234375,-59.08203125,2.44140625
7,1734117394831.3438,-7.32421875,-52.734375,-52.24609375,2.9296875
8,1734117394835.25,14.6484375,-40.52734375,-47.36328125,0.48828125
9,1734117394839.1562,20.5078125,-36.1328125,-46.38671875,25.87890625
10,1734117394843.0625,20.5078125,-33.203125,-50.78125,36.1328125
11,1734117394846.9688,25.390625,-32.71484375,-52.24609375,26.3671875
0,1734117394850.875,14.16015625,-37.109375,-52.24609375,26.3671875
1,1734117394854.7812,3.41796875,-38.57421875,-52.24609375,20.01953125
2,1734117394858.6875,15.625,-39.0625,-49.8046875,13.18359375
3,1734117394862.5938,3.90625,-49.31640625,-43.9453125,18.06640625
4,1734117394866.5,-9.765625,-47.8515625,-48.828125,19.04296875
5,1734117394870.4062,4.39453125,-31.73828125,-50.29296875,1.46484375
6,1734117394874.3125,2.9296875,-30.76171875,-49.31640625,2.44140625
7,1734117394878.2188,7.32421875,-40.52734375,-52.24609375,6.34765625
8,1734117394882.125,5.37109375,-40.52734375,-45.41015625,16.6015625
9,1734117394886.0312,-6.34765625,-39.0625,-44.43359375,17.578125
10,1734117394889.9375,-2.9296875,-42.48046875,-50.78125,8.30078125
11,1734117394893.8438,7.8125,-43.9453125,-49.8046875,18.06640625
0,1734117394897.75,6.34765625,-53.7109375,-43.9453125,25.390625
1,1734117394901.6562,-6.8359375,-62.5,-43.45703125,29.296875
2,1734117394905.5625,-4.8828125,-51.26953125,-38.57421875,31.25
3,1734117394909.4688,-5.37109375,-50.78125,-34.1796875,26.3671875
4,1734117394913.375,-3.90625,-49.8046875,-39.0625,20.99609375
5,1734117394917.2812,8.30078125,-48.33984375,-44.43359375,24.90234375
6,1734117394921.1875,10.25390625,-48.828125,-45.41015625,27.34375
7,1734117394925.0938,2.44140625,-41.50390625,-42.48046875,34.66796875
8,1734117394929,9.27734375,-41.50390625,-43.45703125,39.55078125
9,1734117394932.9062,5.37109375,-51.7578125,-48.828125,21.97265625
10,1734117394936.8125,4.39453125,-53.22265625,-52.24609375,-7.32421875
11,1734117394940.7188,7.8125,-49.31640625,-53.7109375,-6.34765625
0,1734117394944.625,0,-51.7578125,-49.8046875,6.8359375
1,1734117394948.5312,-1.46484375,-53.7109375,-48.828125,2.9296875
2,1734117394952.4375,10.7421875,-52.734375,-50.78125,16.11328125
3,1734117394956.3438,0,-42.48046875,-46.875,21.484375
4,1734117394960.25,-11.23046875,-41.50390625,-46.38671875,4.8828125
5,1734117394964.1562,-15.13671875,-57.12890625,-48.828125,6.8359375
6,1734117394968.0625,-1.953125,-55.17578125,-51.7578125,3.90625
7,1734117394971.9688,11.23046875,-44.921875,-49.8046875,10.7421875
8,1734117394975.875,-4.39453125,-41.9921875,-52.24609375,15.13671875
9,1734117394979.7812,1.46484375,-40.52734375,-54.6875,-3.90625
10,1734117394983.6875,13.18359375,-39.55078125,-53.22265625,-3.41796875
11,1734117394987.5938,18.5546875,-37.59765625,-55.17578125,-1.46484375
0,1734117394991.5,15.625,-42.96875,-52.24609375,-13.18359375
1,1734117394995.4062,1.46484375,-50.29296875,-52.734375,-20.01953125
2,1734117394999.3125,1.953125,-62.5,-53.7109375,-8.30078125
3,1734117395003.2188,10.25390625,-65.91796875,-52.24609375,1.46484375
4,1734117395007.125,2.9296875,-53.22265625,-49.31640625,0.9765625
5,1734117395011.0312,-7.32421875,-45.8984375,-48.33984375,6.8359375
6,1734117395014.9375,-8.7890625,-42.48046875,-49.31640625,7.8125
7,1734117395018.8438,-6.8359375,-43.45703125,-49.31640625,10.7421875
8,1734117395022.75,-10.25390625,-45.41015625,-49.31640625,-2.9296875
9,1734117395026.6562,-4.39453125,-43.45703125,-48.828125,3.90625
10,1734117395030.5625,-3.90625,-38.57421875,-51.7578125,21.484375
11,1734117395034.4688,-8.30078125,-41.50390625,-54.19921875,19.53125
0,1734117395038.375,-11.71875,-43.9453125,-50.78125,7.8125
1,1734117395042.2812,-15.13671875,-44.921875,-46.875,-0.48828125
2,1734117395046.1875,-10.25390625,-47.8515625,-45.41015625,-0.48828125
3,1734117395050.0938,-20.01953125,-52.734375,-50.78125,-6.8359375
4,1734117395054,-20.99609375,-62.01171875,-53.22265625,-16.11328125
5,1734117395057.9062,-25.390625,-57.12890625,-52.734375,-27.83203125
6,1734117395061.8125,-17.08984375,-44.921875,-51.26953125,-2.44140625
7,1734117395065.7188,-6.34765625,-38.0859375,-52.24609375,16.6015625
8,1734117395069.625,-14.6484375,-40.0390625,-56.640625,5.37109375
9,1734117395073.5312,-4.39453125,-46.38671875,-54.19921875,8.7890625
10,1734117395077.4375,0.48828125,-43.45703125,-48.33984375,7.8125
11,1734117395081.3438,-0.9765625,-44.43359375,-46.38671875,6.34765625
0,1734117395085.25,-8.7890625,-51.26953125,-47.8515625,-2.9296875
1,1734117395089.1562,-8.7890625,-58.59375,-47.36328125,-13.18359375
2,1734117395093.0625,-7.32421875,-68.359375,-44.921875,-17.08984375
3,1734117395096.9688,-9.27734375,-63.4765625,-47.8515625,2.9296875
4,1734117395100.875,-11.23046875,-44.43359375,-46.875,13.671875
5,1734117395104.7812,-13.671875,-41.015625,-41.50390625,9.765625
6,1734117395108.6875,-2.44140625,-43.45703125,-40.0390625,16.6015625
7,1734117395112.5938,-1.953125,-45.8984375,-43.9453125,17.08984375
8,1734117395116.5,-8.30078125,-48.33984375,-48.33984375,15.625
9,1734117395120.4062,5.859375,-44.43359375,-45.41015625,19.53125
10,1734117395124.3125,9.765625,-38.57421875,-43.45703125,25.87890625
11,1734117395128.2188,-8.30078125,-47.8515625,-48.33984375,7.8125
0,1734117395132.125,-5.37109375,-57.12890625,-44.921875,-1.953125
1,1734117395136.0312,-3.90625,-49.8046875,-40.52734375,15.625
2,1734117395139.9375,-1.46484375,-46.38671875,-42.96875,10.7421875
3,1734117395143.8438,1.953125,-44.921875,-48.33984375,-1.953125
4,1734117395147.75,-2.9296875,-38.57421875,-46.38671875,1.46484375
5,1734117395151.6562,6.8359375,-37.59765625,-40.0390625,16.11328125
6,1734117395155.5625,7.32421875,-42.96875,-43.9453125,14.6484375
7,1734117395159.4688,-6.8359375,-44.43359375,-47.8515625,10.7421875
8,1734117395163.375,-4.39453125,-41.015625,-42.96875,6.8359375
9,1734117395167.2812,12.20703125,-39.0625,-40.52734375,10.25390625
10,1734117395171.1875,4.8828125,-44.921875,-43.9453125,13.18359375
11,1734117395175.0938,-0.48828125,-47.36328125,-41.015625,2.9296875
0,1734117395179,-3.41796875,-37.59765625,-41.50390625,0
1,1734117395182.9062,-2.9296875,-36.62109375,-42.48046875,8.7890625
2,1734117395186.8125,-1.953125,-34.66796875,-45.41015625,2.9296875
3,1734117395190.7188,-2.9296875,-35.15625,-46.38671875,-9.765625
4,1734117395194.625,4.39453125,-39.55078125,-42.48046875,-8.30078125
