index,unixTimestamp,TP9,AF7,AF8,TP10
0,1734037277087.75,0,0,0,0
1,1734037277091.6562,-0.48828125,-2.44140625,-5.859375,-0.9765625
2,1734037277095.5625,-1.953125,-15.625,29.296875,-0.9765625
3,1734037277099.4688,5.859375,32.2265625,-90.33203125,10.25390625
4,1734037277103.375,-31.73828125,-211.9140625,325.1953125,-47.36328125
5,1734037277107.2812,-44.43359375,-644.53125,412.59765625,23.4375
6,1734037277111.1875,5.859375,-422.8515625,50.78125,173.828125
7,1734037277115.0938,-5.859375,-500.9765625,-8.7890625,112.79296875
8,1734037277119,-68.359375,-1000,-393.5546875,-30.76171875
9,1734037277122.9062,-83.0078125,-740.72265625,-41.9921875,22.4609375
10,1734037277126.8125,-52.734375,-205.078125,251.953125,189.94140625
11,1734037277130.7188,-41.9921875,-461.42578125,10.7421875,205.56640625
0,1734037277134.625,-118.65234375,-909.66796875,-230.95703125,69.3359375
1,1734037277138.5312,-129.8828125,-664.0625,-60.05859375,55.17578125
2,1734037277142.4375,-53.7109375,-279.296875,131.8359375,200.68359375
3,1734037277146.3438,-40.0390625,-404.296875,19.53125,233.88671875
4,1734037277150.25,-75.1953125,-658.69140625,-91.796875,123.53515625
5,1734037277154.1562,-85.44921875,-859.375,-253.41796875,83.0078125
6,1734037277158.0625,-11.71875,-817.3828125,-195.80078125,254.39453125
7,1734037277161.9688,20.01953125,-815.4296875,-289.0625,384.27734375
8,1734037277165.875,2.9296875,-818.84765625,-317.87109375,272.94921875
9,1734037277169.7812,-24.90234375,-559.08203125,-167.96875,115.72265625
10,1734037277173.6875,14.6484375,-321.77734375,-44.921875,224.12109375
11,1734037277177.5938,80.078125,-648.4375,-261.23046875,358.3984375
0,1734037277181.5,68.84765625,-825.1953125,-358.3984375,265.13671875
1,1734037277185.4062,25.390625,-415.0390625,-101.5625,59.5703125
2,1734037277189.3125,74.21875,-510.25390625,-244.62890625,102.05078125
3,1734037277193.2188,141.11328125,-412.59765625,-85.44921875,266.6015625
4,1734037277197.125,123.046875,-96.19140625,51.7578125,228.515625
5,1734037277201.0312,72.265625,-569.3359375,-239.74609375,10.7421875
6,1734037277204.9375,88.8671875,-1000,-481.4453125,-50.29296875
7,1734037277208.8438,137.20703125,-987.3046875,-527.83203125,120.1171875
8,1734037277212.75,100.5859375,-503.41796875,-126.46484375,137.20703125
9,1734037277216.6562,7.8125,-171.38671875,2.44140625,-36.1328125
10,1734037277220.5625,-38.0859375,-804.19921875,-500.9765625,-81.54296875
11,1734037277224.4688,-22.4609375,-843.26171875,-486.81640625,97.16796875
0,1734037277228.375,-10.25390625,-38.0859375,56.15234375,185.546875
1,1734037277232.2812,-33.69140625,109.86328125,54.6875,104.98046875
2,1734037277236.1875,-79.58984375,-590.33203125,-324.21875,12.6953125
3,1734037277240.0938,-67.87109375,-515.625,-157.71484375,121.58203125
4,1734037277244,-32.71484375,97.65625,122.55859375,260.25390625
5,1734037277247.9062,-42.96875,-251.46484375,-142.578125,227.05078125
6,1734037277251.8125,-98.6328125,-886.23046875,-518.5546875,46.38671875
7,1734037277255.7188,-84.9609375,-646.97265625,-286.62109375,17.578125
8,1734037277259.625,-5.37109375,81.0546875,109.86328125,153.3203125
9,1734037277263.5312,16.6015625,183.10546875,37.109375,132.32421875
10,1734037277267.4375,-30.76171875,-571.2890625,-357.421875,-50.29296875
11,1734037277271.3438,-24.90234375,-694.82421875,-342.28515625,-118.1640625
0,1734037277275.25,41.015625,-216.30859375,-65.91796875,20.01953125
1,1734037277279.1562,81.0546875,-276.85546875,-52.734375,95.21484375
2,1734037277283.0625,49.8046875,-593.75,-286.1328125,-23.4375
3,1734037277286.9688,15.625,-698.73046875,-371.09375,-160.15625
4,1734037277290.875,61.5234375,-248.046875,-67.3828125,-10.25390625
5,1734037277294.7812,92.28515625,-204.58984375,-20.99609375,133.7890625
6,1734037277298.6875,47.8515625,-750,-349.609375,22.4609375
7,1734037277302.5938,-21.484375,-1000,-457.03125,-128.41796875
8,1734037277306.5,5.37109375,-455.078125,-85.9375,-40.0390625
9,1734037277310.4062,47.36328125,-172.8515625,-29.78515625,125.9765625
10,1734037277314.3125,30.76171875,-690.4296875,-371.58203125,109.86328125
11,1734037277318.2188,-45.8984375,-437.01171875,-261.71875,-64.94140625
0,1734037277322.125,-48.828125,-118.1640625,-108.88671875,-39.0625
1,1734037277326.0312,-3.41796875,-120.1171875,-17.578125,137.6953125
2,1734037277329.9375,-3.41796875,-161.62109375,-43.9453125,148.4375
3,1734037277333.8438,-44.921875,-349.609375,-207.03125,-21.484375
