index,unixTimestamp,TP9,AF7,AF8,TP10
0,1734116490836.75,0,0,0,0
1,1734116490840.6562,0,-0.48828125,-0.9765625,0
2,1734116490844.5625,-1.953125,-1.46484375,3.90625,-0.9765625
3,1734116490848.4688,2.9296875,2.9296875,-13.18359375,1.46484375
4,1734116490852.375,-12.20703125,-20.99609375,38.57421875,-7.32421875
5,1734116490856.2812,-37.59765625,-50.29296875,27.83203125,-25.390625
6,1734116490860.1875,-20.01953125,-39.55078125,-83.49609375,-24.90234375
7,1734116490864.0938,-16.11328125,-32.2265625,-65.4296875,-24.4140625
8,1734116490868,-26.85546875,-41.9921875,-49.31640625,-20.99609375
9,1734116490871.9062,-26.85546875,-27.83203125,-42.48046875,-21.97265625
10,1734116490875.8125,-20.99609375,-9.27734375,-40.0390625,-18.06640625
11,1734116490879.7188,-11.71875,-14.6484375,-42.96875,-17.578125
0,1734116490883.625,-2.44140625,-24.90234375,-35.64453125,-16.11328125
1,1734116490887.5312,-5.37109375,-10.7421875,-30.76171875,-8.30078125
2,1734116490891.4375,-7.8125,-6.8359375,-22.94921875,-5.859375
3,1734116490895.3438,0.9765625,-22.94921875,-21.484375,-3.90625
4,1734116490899.25,3.90625,-20.5078125,-27.83203125,-4.8828125
5,1734116490903.1562,-2.44140625,-20.99609375,-19.04296875,1.953125
6,1734116490907.0625,-5.859375,-23.4375,-17.578125,5.37109375
7,1734116490910.9688,-7.32421875,-31.25,-26.85546875,3.90625
8,1734116490914.875,2.9296875,-56.15234375,-27.83203125,18.06640625
9,1734116490918.7812,-8.30078125,-12.6953125,-28.80859375,0
10,1734116490922.6875,-22.94921875,25.390625,-29.78515625,-14.6484375
11,1734116490926.5938,-2.44140625,-1.953125,-25.87890625,-3.90625
0,1734116490930.5,1.953125,-7.32421875,-23.92578125,-7.32421875
1,1734116490934.4062,-16.11328125,3.90625,-26.85546875,-10.25390625
2,1734116490938.3125,-30.2734375,-10.7421875,-32.2265625,-13.671875
3,1734116490942.2188,-20.99609375,-21.97265625,-33.69140625,-9.27734375
4,1734116490946.125,-8.30078125,-20.5078125,-31.25,-5.859375
5,1734116490950.0312,-14.6484375,-27.34375,-31.25,-7.8125
6,1734116490953.9375,-4.8828125,-26.85546875,-24.4140625,-1.46484375
7,1734116490957.8438,12.6953125,-52.734375,-22.4609375,13.671875
8,1734116490961.75,0.9765625,-59.5703125,-24.90234375,0.9765625
9,1734116490965.6562,-8.30078125,-8.30078125,-23.92578125,-25.390625
10,1734116490969.5625,-13.671875,-7.32421875,-23.4375,-23.92578125
11,1734116490973.4688,-6.8359375,-22.4609375,-12.6953125,-12.6953125
0,1734116490977.375,9.765625,-8.30078125,-24.90234375,-10.25390625
1,1734116490981.2812,7.8125,6.8359375,-37.109375,-13.18359375
2,1734116490985.1875,-0.9765625,-14.16015625,-32.71484375,-3.41796875
3,1734116490989.0938,-13.18359375,-24.4140625,-26.85546875,2.9296875
4,1734116490993,-12.20703125,-7.8125,-26.3671875,-6.34765625
5,1734116490996.9062,-16.6015625,-13.671875,-35.15625,-17.578125
6,1734116491000.8125,-17.08984375,-41.50390625,-27.83203125,-14.6484375
7,1734116491004.7188,-9.27734375,-49.31640625,-21.97265625,-8.30078125
8,1734116491008.625,-11.23046875,-13.18359375,-20.5078125,-20.01953125
9,1734116491012.5312,-12.20703125,-3.90625,-21.484375,-12.20703125
