index,unixTimestamp,TP9,AF7,AF8,TP10
0,1734037200822.125,0,0,-0.48828125,0
1,1734037200826.0312,-0.48828125,-0.48828125,-2.44140625,0
2,1734037200829.9375,-11.71875,-29.296875,23.4375,-6.8359375
3,1734037200833.8438,28.3203125,62.01171875,-100.09765625,15.13671875
4,1734037200837.75,-146.484375,-366.2109375,392.578125,-83.49609375
5,1734037200841.6562,-350.09765625,-995.1171875,192.3828125,-206.54296875
6,1734037200845.5625,-201.171875,-997.55859375,-638.671875,-162.109375
7,1734037200849.4688,-166.015625,-985.83984375,-332.51953125,-154.296875
8,1734037200853.375,-291.9921875,-1000,-128.90625,-182.6171875
9,1734037200857.2812,-353.02734375,-1000,-139.16015625,-184.08203125
10,1734037200861.1875,-254.8828125,-999.51171875,-138.671875,-156.73828125
11,1734037200865.0938,-149.90234375,-999.0234375,-109.375,-138.671875
0,1734037200869,-283.203125,-995.1171875,-97.16796875,-162.109375
1,1734037200872.9062,-377.9296875,-994.140625,-116.69921875,-163.0859375
2,1734037200876.8125,-264.16015625,-1000,-148.92578125,-132.8125
3,1734037200880.7188,-99.12109375,-995.1171875,-114.2578125,-105.46875
4,1734037200884.625,-194.3359375,-987.79296875,-114.2578125,-99.12109375
5,1734037200888.5312,-345.21484375,-999.0234375,-178.7109375,-108.3984375
6,1734037200892.4375,-267.578125,-993.65234375,-253.41796875,-96.19140625
7,1734037200896.3438,-105.95703125,-1000,-164.55078125,-84.9609375
8,1734037200900.25,-150.87890625,-831.0546875,-45.8984375,-109.375
9,1734037200904.1562,-331.0546875,-807.12890625,-95.703125,-124.51171875
10,1734037200908.0625,-324.70703125,-866.2109375,-91.796875,-110.83984375
11,1734037200911.9688,-156.25,-645.5078125,-69.82421875,-98.6328125
0,1734037200915.875,-80.078125,-605.95703125,-114.74609375,-104.00390625
1,1734037200919.7812,-208.984375,-796.38671875,-156.73828125,-94.7265625
2,1734037200923.6875,-257.32421875,-853.02734375,-145.01953125,-89.35546875
3,1734037200927.5938,-127.44140625,-680.6640625,-114.74609375,-85.9375
4,1734037200931.5,-17.578125,-753.90625,-117.67578125,-76.66015625
5,1734037200935.4062,-171.38671875,-949.21875,-171.38671875,-89.84375
6,1734037200939.3125,-284.66796875,-1000,-179.19921875,-75.68359375
7,1734037200943.2188,-180.17578125,-989.74609375,-148.4375,-62.98828125
8,1734037200947.125,-32.2265625,-982.91015625,-104.4921875,-62.01171875
9,1734037200951.0312,-115.72265625,-1000,-158.69140625,-58.10546875
10,1734037200954.9375,-256.34765625,-996.09375,-199.70703125,-64.453125
11,1734037200958.8438,-164.55078125,-662.109375,-87.40234375,-58.10546875
0,1734037200962.75,-7.8125,-533.69140625,-99.609375,-48.33984375
1,1734037200966.6562,-42.96875,-789.55078125,-113.76953125,-68.84765625
