index,unixTimestamp,TP9,AF7,AF8,TP10
0,1734116429805.5,0,0,0,0
1,1734116429809.4062,0,-0.48828125,-0.9765625,0
2,1734116429813.3125,-1.46484375,-1.46484375,4.8828125,-1.46484375
3,1734116429817.2188,2.44140625,2.9296875,-16.11328125,1.46484375
4,1734116429821.125,-12.20703125,-19.04296875,48.828125,-7.8125
5,1734116429825.0312,-38.0859375,-42.96875,41.9921875,-34.1796875
6,1734116429828.9375,-25.87890625,-20.99609375,-89.84375,-38.57421875
7,1734116429832.8438,-8.30078125,-12.6953125,-72.265625,-13.671875
8,1734116429836.75,-12.6953125,-30.76171875,-46.38671875,0.9765625
9,1734116429840.6562,-28.3203125,-17.08984375,-44.921875,-2.44140625
10,1734116429844.5625,-33.203125,6.8359375,-33.203125,-18.5546875
11,1734116429848.4688,-21.484375,-0.48828125,-26.3671875,-15.13671875
0,1734116429852.375,-16.11328125,-8.30078125,-32.71484375,-10.7421875
1,1734116429856.2812,-20.5078125,0,-27.34375,-26.3671875
2,1734116429860.1875,-24.90234375,-3.90625,-20.5078125,-19.53125
3,1734116429864.0938,-10.25390625,-9.27734375,-28.3203125,9.27734375
4,1734116429868,6.8359375,-7.32421875,-34.1796875,20.99609375
5,1734116429871.9062,-1.46484375,-9.765625,-25.390625,-5.859375
6,1734116429875.8125,-7.32421875,-16.11328125,-26.3671875,-29.296875
7,1734116429879.7188,1.46484375,-22.94921875,-17.578125,-17.08984375
8,1734116429883.625,10.25390625,-45.8984375,-9.27734375,20.5078125
9,1734116429887.5312,-12.20703125,-2.44140625,-21.484375,12.6953125
10,1734116429891.4375,-31.73828125,24.90234375,-19.04296875,-35.64453125
11,1734116429895.3438,-26.3671875,0,-20.5078125,-50.29296875
0,1734116429899.25,-28.80859375,0.48828125,-20.01953125,-26.3671875
1,1734116429903.1562,-35.15625,3.41796875,-9.765625,-22.4609375
2,1734116429907.0625,-38.57421875,-7.32421875,-18.5546875,-25.390625
3,1734116429910.9688,-29.78515625,-21.97265625,-27.34375,-3.41796875
